country,continent,economic_status,coastal_population,waste_generation_rate(kg/person/day),%_plastic_in_waste_stream,%_Inadequately_managed_waste,%_littered_waste,waste_generation(kg/day),plastic_waste_generation(kg/day),inadequately_managed_plastic_waste(kg/day),plastic_waste_littered(kg/day),mismanaged_plastic_waste(kg/person/day),mismanaged_plastic_waste_in_2010(tonnes),mismanaged_plastic_waste_in_2025(tonnes)
Finland,Europe,HIC,2927674,2.13,11,0,2,6235946,682836,0,13657,0.005,4985,6422
France,Europe,HIC,17287280,1.92,10,0,2,33191578,3302562,0,66051,0.004,24109,34671
French Guiana,South America,UMI,167631,1.2,12,25,2,201157,24038,5986,481,0.039,2360,5577
French Polynesia,Oceania,HIC,270618,2.1,12,3,2,568298,67912,2165,1358,0.013,1286,1824
Gabon,Africa,UMI,862328,0.45,12,34,2,388048,46372,15750,927,0.019,6087,15446
Georgia,Asia,LMI,1124249,1.69,4,51,2,1899981,75049,38149,1501,0.035,14472,24532
Germany,Europe,HIC,8837035,2.11,23,0,2,18646144,4279290,0,85586,0.01,31239,33317
Ghana,Africa,LMI,7727702,0.79,5,81,2,6104885,302192,244835,6044,0.032,91571,325116
Gibraltar,Europe,HIC,33483,2.1,12,0,2,70314,8403,9,168,0.005,65,92
Greece,Europe,HIC,9794702,2,10,0,2,19589404,1949146,0,38983,0.004,14229,18621
Greenland,North America,HIC,57068,2.1,12,0,2,119843,14321,0,286,0.005,105,148
